"TAZ"	"COUNTY_FIP"	"COUNTY_NM"
1148	33	"King"
1149	33	"King"
1150	33	"King"
1151	33	"King"
1152	33	"King"
1153	33	"King"
1154	33	"King"
1155	33	"King"
1156	33	"King"
1157	33	"King"
1158	33	"King"
1159	33	"King"
1160	33	"King"
1161	33	"King"
1162	33	"King"
1163	33	"King"
1164	33	"King"
1165	33	"King"
1166	33	"King"
1167	33	"King"
1168	33	"King"
1169	33	"King"
1170	33	"King"
1171	33	"King"
1172	33	"King"
1173	33	"King"
1174	33	"King"
1175	33	"King"
1176	33	"King"
1177	33	"King"
1178	33	"King"
1179	33	"King"
1180	33	"King"
1181	33	"King"
1182	33	"King"
1183	33	"King"
1184	33	"King"
1185	33	"King"
1186	33	"King"
1187	33	"King"
1188	33	"King"
1189	33	"King"
1190	33	"King"
1191	33	"King"
1192	33	"King"
1193	33	"King"
1194	33	"King"
1195	33	"King"
1196	33	"King"
1197	33	"King"
1198	33	"King"
1199	33	"King"
1200	33	"King"
1201	33	"King"
1202	33	"King"
1203	33	"King"
1204	33	"King"
1205	33	"King"
1206	33	"King"
1207	33	"King"
1208	33	"King"
1209	33	"King"
1210	33	"King"
1211	33	"King"
1212	33	"King"
1213	33	"King"
1214	33	"King"
1215	33	"King"
1216	33	"King"
1217	33	"King"
1218	33	"King"
1219	33	"King"
1220	33	"King"
1221	33	"King"
1222	33	"King"
1223	33	"King"
1224	33	"King"
1225	33	"King"
1226	33	"King"
1227	33	"King"
1228	33	"King"
1229	33	"King"
1230	33	"King"
1231	33	"King"
1232	33	"King"
1233	33	"King"
1234	33	"King"
1235	33	"King"
1236	33	"King"
1237	33	"King"
1238	33	"King"
1239	33	"King"
1240	33	"King"
1241	33	"King"
1242	33	"King"
1243	33	"King"
1244	33	"King"
1245	33	"King"
1246	33	"King"
1247	33	"King"
1248	33	"King"
1249	33	"King"
1250	33	"King"
1251	33	"King"
1252	33	"King"
1253	33	"King"
1254	33	"King"
1255	33	"King"
1256	33	"King"
1257	33	"King"
1258	33	"King"
1259	33	"King"
1260	33	"King"
1261	33	"King"
1262	33	"King"
1263	33	"King"
1264	33	"King"
1265	33	"King"
1266	33	"King"
1267	33	"King"
1268	33	"King"
1269	33	"King"
1270	33	"King"
1271	33	"King"
1272	33	"King"
1273	33	"King"
1274	33	"King"
1275	33	"King"
1276	33	"King"
1277	33	"King"
1278	33	"King"
1279	33	"King"
1280	33	"King"
1281	33	"King"
1282	33	"King"
1283	33	"King"
1284	33	"King"
1285	33	"King"
1286	33	"King"
1287	33	"King"
1288	33	"King"
1289	33	"King"
1290	33	"King"
1291	33	"King"
1292	33	"King"
1293	33	"King"
1294	33	"King"
1295	33	"King"
1296	33	"King"
1297	33	"King"
1298	33	"King"
1299	33	"King"
1300	33	"King"
1301	33	"King"
1302	33	"King"
1303	33	"King"
1304	33	"King"
1305	33	"King"
1306	33	"King"
1307	33	"King"
1308	33	"King"
1309	33	"King"
1310	33	"King"
1311	33	"King"
1312	33	"King"
1313	33	"King"
1314	33	"King"
1315	33	"King"
1316	33	"King"
1317	33	"King"
1318	33	"King"
1319	33	"King"
1320	33	"King"
1321	33	"King"
1322	33	"King"
1323	33	"King"
1324	33	"King"
1325	33	"King"
1326	33	"King"
1327	33	"King"
1328	33	"King"
1329	33	"King"
1330	33	"King"
1331	33	"King"
1332	33	"King"
1333	33	"King"
1334	33	"King"
1335	33	"King"
1336	33	"King"
1337	33	"King"
1338	33	"King"
1339	33	"King"
1340	33	"King"
1341	33	"King"
1342	33	"King"
1343	33	"King"
1344	33	"King"
1345	33	"King"
1346	33	"King"
1347	33	"King"
1348	33	"King"
1349	33	"King"
1350	33	"King"
1351	33	"King"
1352	33	"King"
1353	33	"King"
1354	33	"King"
1355	33	"King"
1356	33	"King"
1357	33	"King"
1358	33	"King"
1359	33	"King"
1360	33	"King"
