tractcity_2014, element, target_value
822, 'job.home_based_status==0', 373
823, 'job.home_based_status==0', 912
824, 'job.home_based_status==0', 211
826, 'job.home_based_status==0', 7
829, 'job.home_based_status==0', 76
831, 'job.home_based_status==0', 7
833, 'job.home_based_status==0', 266
834, 'job.home_based_status==0', 269
835, 'job.home_based_status==0', 455
843, 'job.home_based_status==0', 404
844, 'job.home_based_status==0', 561
845, 'job.home_based_status==0', 353
847, 'job.home_based_status==0', 1315
848, 'job.home_based_status==0', 2565
849, 'job.home_based_status==0', 2044
850, 'job.home_based_status==0', 638
852, 'job.home_based_status==0', 23
853, 'job.home_based_status==0', 426
854, 'job.home_based_status==0', 749
855, 'job.home_based_status==0', 83
858, 'job.home_based_status==0', 110
860, 'job.home_based_status==0', 232
861, 'job.home_based_status==0', 441
864, 'job.home_based_status==0', 2
878, 'job.home_based_status==0', 80
927, 'job.home_based_status==0', 441
942, 'job.home_based_status==0', 1061
943, 'job.home_based_status==0', 647
946, 'job.home_based_status==0', 3616
955, 'job.home_based_status==0', 441
956, 'job.home_based_status==0', 478
973, 'job.home_based_status==0', 318
974, 'job.home_based_status==0', 526
1054, 'job.home_based_status==0', 7
1055, 'job.home_based_status==0', 41
1059, 'job.home_based_status==0', 4
1065, 'job.home_based_status==0', 602
1066, 'job.home_based_status==0', 378
1076, 'job.home_based_status==0', 790
1087, 'job.home_based_status==0', 7
1095, 'job.home_based_status==0', 7
1105, 'job.home_based_status==0', 20
1107, 'job.home_based_status==0', 13431
1109, 'job.home_based_status==0', 1803
1110, 'job.home_based_status==0', 1095
1118, 'job.home_based_status==0', 1667
1126, 'job.home_based_status==0', 88
1142, 'job.home_based_status==0', 530
1148, 'job.home_based_status==0', 422
1173, 'job.home_based_status==0', 15438
1174, 'job.home_based_status==0', 4677
1175, 'job.home_based_status==0', 3061
1176, 'job.home_based_status==0', 2073
1177, 'job.home_based_status==0', 3179
1178, 'job.home_based_status==0', 22024
1179, 'job.home_based_status==0', 16137
1180, 'job.home_based_status==0', 447
1181, 'job.home_based_status==0', 6609
1182, 'job.home_based_status==0', 3287
1183, 'job.home_based_status==0', 238
1184, 'job.home_based_status==0', 3392
1186, 'job.home_based_status==0', 3792
1188, 'job.home_based_status==0', 2586
1189, 'job.home_based_status==0', 667
1190, 'job.home_based_status==0', 420
1191, 'job.home_based_status==0', 868
1192, 'job.home_based_status==0', 514
1193, 'job.home_based_status==0', 2230
1194, 'job.home_based_status==0', 8642
1195, 'job.home_based_status==0', 2556
1196, 'job.home_based_status==0', 52
1197, 'job.home_based_status==0', 6061
1198, 'job.home_based_status==0', 2491
1199, 'job.home_based_status==0', 2403
1200, 'job.home_based_status==0', 1056
1201, 'job.home_based_status==0', 2424
1205, 'job.home_based_status==0', 35
1220, 'job.home_based_status==0', 3853
1221, 'job.home_based_status==0', 3847
1225, 'job.home_based_status==0', 2159
1245, 'job.home_based_status==0', 97
1246, 'job.home_based_status==0', 1139
1339, 'job.home_based_status==0', 2424
