faz_id	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040
3046	22675	22733	22791	22849	22907	22966	23024	23082	23140	23198	23256	23302	23347	23393	23439	23485	23530	23576	23622	23667	23713	23733	23753	23772	23792	23812	23832	23852	23871	23891	23911
3110	9544	9795	10045	10296	10546	10797	11047	11298	11548	11799	12049	12249	12449	12650	12850	13050	13250	13450	13651	13851	14051	14238	14425	14612	14799	14986	15173	15360	15547	15734	15921
3120	24520	24720	24920	25121	25321	25521	25721	25921	26122	26322	26522	26727	26933	27138	27343	27549	27754	27959	28164	28370	28575	28818	29060	29303	29545	29788	30031	30273	30516	30758	31001
3130	16343	16503	16663	16823	16983	17143	17302	17462	17622	17782	17942	18076	18209	18343	18476	18610	18743	18877	19010	19144	19277	19396	19515	19634	19753	19873	19992	20111	20230	20349	20468
3200	21645	22063	22481	22899	23317	23736	24154	24572	24990	25408	25826	26331	26835	27340	27844	28349	28854	29358	29863	30367	30872	31392	31911	32431	32951	33471	33990	34510	35030	35549	36069
3310	16968	17255	17542	17829	18116	18404	18691	18978	19265	19552	19839	20131	20423	20714	21006	21298	21590	21882	22173	22465	22757	23089	23421	23752	24084	24416	24748	25080	25411	25743	26075
3320	30637	31295	31953	32610	33268	33926	34584	35242	35899	36557	37215	37667	38119	38572	39024	39476	39928	40380	40833	41285	41737	42296	42854	43413	43971	44530	45088	45647	46205	46764	47322
3330	12971	13061	13151	13240	13330	13420	13510	13600	13689	13779	13869	13944	14018	14093	14167	14242	14316	14391	14465	14540	14614	14698	14783	14867	14952	15036	15120	15205	15289	15374	15458
3413	7628	7760	7892	8024	8156	8288	8419	8551	8683	8815	8947	9068	9189	9310	9431	9553	9674	9795	9916	10037	10158	10232	10307	10381	10456	10530	10604	10679	10753	10828	10902
3414	25175	25158	25141	25124	25107	25090	25073	25056	25039	25022	25005	25084	25162	25241	25319	25398	25476	25555	25633	25712	25790	25871	25952	26033	26114	26196	26277	26358	26439	26520	26601
3415	22372	22694	23015	23337	23659	23981	24302	24624	24946	25267	25589	25865	26142	26418	26695	26971	27247	27524	27800	28077	28353	28688	29022	29357	29691	30026	30360	30695	31029	31364	31698
3416	22248	22372	22496	22620	22744	22868	22991	23115	23239	23363	23487	23659	23830	24002	24173	24345	24516	24688	24859	25031	25202	25408	25614	25821	26027	26233	26439	26645	26852	27058	27264
3425	17735	18249	18762	19276	19790	20304	20817	21331	21845	22358	22872	23284	23696	24108	24520	24933	25345	25757	26169	26581	26993	27411	27829	28247	28665	29083	29501	29919	30337	30755	31173
3426	19800	20344	20887	21431	21974	22518	23061	23605	24148	24692	25235	25696	26157	26618	27079	27540	28000	28461	28922	29383	29844	30404	30965	31525	32085	32646	33206	33766	34326	34887	35447
3427	22174	22664	23155	23645	24135	24626	25116	25606	26096	26587	27077	27449	27821	28192	28564	28936	29308	29680	30051	30423	30795	31102	31409	31716	32023	32331	32638	32945	33252	33559	33866
3505	34232	34460	34688	34916	35144	35373	35601	35829	36057	36285	36513	36736	36959	37182	37405	37628	37851	38074	38297	38520	38743	38874	39005	39135	39266	39397	39528	39659	39789	39920	40051
3600	18020	18108	18196	18285	18373	18461	18549	18637	18726	18814	18902	19020	19138	19256	19374	19492	19609	19727	19845	19963	20081	20180	20279	20378	20477	20576	20674	20773	20872	20971	21070
3705	30373	30543	30714	30884	31055	31225	31395	31566	31736	31907	32077	32201	32326	32450	32574	32699	32823	32947	33071	33196	33320	33378	33437	33495	33554	33612	33670	33729	33787	33846	33904
3706	14591	14683	14776	14868	14960	15053	15145	15237	15329	15422	15514	15571	15628	15684	15741	15798	15855	15912	15968	16025	16082	16131	16180	16229	16278	16327	16375	16424	16473	16522	16571
3815	19061	19277	19494	19710	19926	20143	20359	20575	20791	21008	21224	21393	21563	21732	21901	22071	22240	22409	22578	22748	22917	23005	23093	23182	23270	23358	23446	23534	23623	23711	23799
3816	22852	22979	23107	23234	23361	23489	23616	23743	23870	23998	24125	24248	24371	24494	24617	24740	24863	24986	25109	25232	25355	25504	25653	25801	25950	26099	26248	26397	26545	26694	26843
3825	17373	17573	17772	17972	18171	18371	18571	18770	18970	19169	19369	19537	19704	19872	20039	20207	20375	20542	20710	20877	21045	21196	21347	21498	21649	21800	21951	22102	22253	22404	22555
3900	5368	5470	5571	5673	5774	5876	5977	6079	6180	6282	6383	6512	6641	6769	6898	7027	7156	7285	7413	7542	7671	7848	8025	8202	8379	8557	8734	8911	9088	9265	9442
3905	7284	7335	7386	7436	7487	7538	7589	7640	7690	7741	7792	7876	7960	8045	8129	8213	8297	8381	8466	8550	8634	8716	8798	8880	8962	9045	9127	9209	9291	9373	9455
4005	11395	11508	11621	11733	11846	11959	12072	12185	12297	12410	12523	12632	12740	12849	12957	13066	13174	13283	13391	13500	13608	13718	13828	13937	14047	14157	14267	14377	14486	14596	14706
4110	17679	17805	17930	18056	18181	18307	18433	18558	18684	18809	18935	19088	19242	19395	19548	19702	19855	20008	20161	20315	20468	20675	20882	21089	21296	21503	21710	21917	22124	22331	22538
4120	17716	17817	17918	18019	18120	18221	18321	18422	18523	18624	18725	18821	18917	19014	19110	19206	19302	19398	19495	19591	19687	19842	19997	20151	20306	20461	20616	20771	20925	21080	21235
4130	14052	14173	14293	14414	14535	14656	14776	14897	15018	15138	15259	15368	15477	15585	15694	15803	15912	16021	16129	16238	16347	16550	16753	16956	17159	17362	17564	17767	17970	18173	18376
4210	19209	19585	19960	20336	20712	21088	21463	21839	22215	22590	22966	23299	23631	23964	24296	24629	24961	25294	25626	25959	26291	26717	27143	27569	27995	28421	28847	29273	29699	30125	30551
4225	15854	16117	16379	16642	16904	17167	17430	17692	17955	18217	18480	18490	18500	18510	18520	18530	18539	18549	18559	18569	18579	18604	18629	18653	18678	18703	18728	18753	18777	18802	18827
4226	15435	15681	15927	16173	16419	16666	16912	17158	17404	17650	17896	18175	18454	18733	19012	19291	19569	19848	20127	20406	20685	20978	21271	21564	21857	22151	22444	22737	23030	23323	23616
4230	9614	9665	9715	9766	9816	9867	9918	9968	10019	10069	10120	10180	10241	10301	10361	10422	10482	10542	10602	10663	10723	10766	10810	10853	10897	10940	10983	11027	11070	11114	11157
4300	10490	10617	10743	10870	10996	11123	11249	11376	11502	11629	11755	11869	11983	12097	12211	12325	12439	12553	12667	12781	12895	13028	13161	13293	13426	13559	13692	13825	13957	14090	14223
4400	22506	22706	22905	23105	23304	23504	23704	23903	24103	24302	24502	24542	24581	24621	24661	24701	24740	24780	24820	24859	24899	24967	25034	25102	25169	25237	25304	25372	25439	25507	25574
4505	16415	16614	16813	17012	17211	17410	17609	17808	18007	18206	18405	18595	18784	18974	19163	19353	19542	19732	19921	20111	20300	20412	20524	20637	20749	20861	20973	21085	21198	21310	21422
